Cliente,Estado,Sexo,Duracao,HistoricoCredito,Proposito,Valor,Investimento,Emprego,TempoParcelamento,EstadoCivil,Fiador,ResidenciaDesde,Idade,OutrosFinanciamentos,Habitacao,EmprestimoExistente,Profissao,Dependentes,SocioEmpresa,Estrangeiro,Status
Alcides Carvalhais,RO,M,18,Alcides Carvalhais,veiculo usado,6,8072,<1,1.0,maculino div/dep,sim,3,3.0,25,propria,1.0,nao qualificado,4,1,0,leal
Aldo Martins,GO,M,19,Aldo Martins,moveis,5,12579,>=7,2.0,masculino solteiro,co aplicante,3,2.0,44,alugada,2.0,altamente qualificado/empresario,1,1,1,leal
Alexandra Tabares,MG,F,20,Alexandra Tabares,moveis,1,3430,1<=X<4,2.0,masculino cas/viu,sim,3,2.0,31,alugada,1.0,altamente qualificado/empresario,4,2,1,leal
Alfredo Cotrim,SC,M,21,Alfredo Cotrim,educacao,4,2134,>=7,3.0,masculino solteiro,sim,3,4.0,48,alugada,1.0,nao qualificado,4,1,1,leal
Almeno Figueira,SC,M,22,Almeno Figueira,moveis,1,2647,1<=X<4,3.0,maculino div/dep,sim,3,3.0,44,alugada,3.0,altamente qualificado/empresario,4,2,0,leal
Alvito Peralta,AM,M,23,Alvito Peralta,educacao,4,2241,>=7,1.0,feminino div/dep/cas,sim,3,3.0,48,alugada,3.0,desempregado,3,2,0,inadimplente
Amadeu Martinho,RN,M,24,Amadeu Martinho,educacao,5,1804,Desempregado,1.0,masculino cas/viu,sim,3,4.0,44,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Amélia Estévez,PE,F,25,Amélia Estévez,educacao,3,2069,<1,3.0,maculino div/dep,nao,3,1.0,26,alugada,1.0,desempregado,4,1,0,inadimplente
Ana Homem,RN,F,26,Ana Homem,moveis,3,1374,>=7,3.0,feminino div/dep/cas,sim,3,2.0,36,propria,1.0,altamente qualificado/empresario,3,1,1,leal
Ana Peseiro,PA,F,27,Ana Peseiro,veiculo usado,1,426,>=7,2.0,masculino solteiro,nao,3,4.0,39,alugada,1.0,altamente qualificado/empresario,3,1,0,leal
Anacleto Garrau,TO,M,28,Anacleto Garrau,abrir negocio,1,409,4<=X<7,3.0,masculino cas/viu,co aplicante,3,3.0,42,alugada,3.0,desempregado,4,1,0,leal
Anacleto Guterres,PI,M,29,Anacleto Guterres,moveis,1,2415,>=7,3.0,masculino cas/viu,sim,4,2.0,34,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Andreia Carvalhal,SP,F,30,Andreia Carvalhal,veiculo novo,6,6836,>=7,2.0,masculino cas/viu,sim,3,4.0,63,alugada,1.0,desempregado,4,1,1,leal
Aníbal Bastos,CE,M,31,Aníbal Bastos,moveis,6,1913,4<=X<7,1.0,masculino cas/viu,nao,3,3.0,36,propria,1.0,altamente qualificado/empresario,4,1,1,leal
Anita Beserra,PE,F,32,Anita Beserra,moveis,3,4020,>=7,3.0,maculino div/dep,sim,3,2.0,27,de graca,1.0,altamente qualificado/empresario,4,1,0,leal
Anna Beça,AP,F,33,Anna Beça,moveis,4,5866,Desempregado,3.0,maculino div/dep,sim,3,2.0,30,alugada,1.0,desempregado,4,1,1,leal
Anna Carvajal,RS,F,34,Anna Carvajal,educacao,6,1264,<1,2.0,masculino solteiro,sim,3,4.0,57,alugada,3.0,altamente qualificado/empresario,3,1,0,leal
Anselmo Dinis,PA,M,36,Anselmo Dinis,educacao,1,4746,>=7,1.0,masculino solteiro,sim,3,2.0,25,alugada,1.0,desempregado,3,1,0,leal
Antão Corte-Real,ES,M,37,Antão Corte-Real,educacao,2,6110,>=7,3.0,feminino div/dep/cas,sim,3,3.0,31,propria,2.0,altamente qualificado/empresario,4,1,1,leal
Antero Milheiro,AP,M,38,Antero Milheiro,moveis,1,2100,>=7,3.0,masculino solteiro,sim,2,2.0,37,de graca,1.0,altamente qualificado/empresario,4,1,0,leal
Antónia Canhão,SC,F,39,Antónia Canhão,moveis,7,1225,>=7,3.0,maculino div/dep,sim,3,2.0,37,alugada,1.0,altamente qualificado/empresario,4,1,1,leal
Antônio Leiria,AL,M,40,Antônio Leiria,moveis,1,458,>=7,3.0,masculino solteiro,sim,3,3.0,24,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
António Lousado,RS,M,41,António Lousado,moveis,1,2333,1<=X<4,2.0,masculino solteiro,sim,3,2.0,30,propria,1.0,altamente qualificado/empresario,1,1,0,leal
Antônio Sobral,AC,M,42,Antônio Sobral,moveis,1,1158,1<=X<4,3.0,masculino cas/viu,co requerente,3,1.0,26,alugada,1.0,altamente qualificado/empresario,4,1,1,leal
Apuã Ourique,AL,M,43,Apuã Ourique,veiculo novo,8,6204,>=7,3.0,maculino div/dep,sim,3,4.0,44,alugada,1.0,altamente qualificado/empresario,3,2,1,leal
Arachane Matos,MA,F,44,Arachane Matos,educacao,5,6187,Desempregado,4.0,feminino div/dep/cas,nao,3,4.0,24,alugada,3.0,desempregado,4,1,0,leal
Arcidres Murici,TO,M,46,Arcidres Murici,educacao,4,1393,>=7,1.0,masculino solteiro,co aplicante,3,4.0,35,alugada,1.0,desempregado,1,1,0,leal
Armindo Castilhos,RR,M,47,Armindo Castilhos,moveis,1,2299,1<=X<4,2.0,masculino solteiro,sim,3,4.0,39,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Armindo Moreira,ES,M,48,Armindo Moreira,moveis,5,1352,1<=X<4,5.0,feminino div/dep/cas,co aplicante,3,2.0,23,alugada,3.0,altamente qualificado/empresario,2,1,1,leal
Artur Macedo,SE,M,49,Artur Macedo,educacao,4,7228,>=7,3.0,feminino div/dep/cas,sim,3,4.0,39,alugada,1.0,desempregado,3,1,0,leal
Artur Peña,RJ,M,50,Artur Peña,moveis,1,2073,Desempregado,3.0,masculino solteiro,co aplicante,2,2.0,28,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Aurélio Barrios,PI,M,51,Aurélio Barrios,veiculo novo,3,2333,<1,1.0,masculino solteiro,sim,3,2.0,29,propria,1.0,altamente qualificado/empresario,3,1,0,leal
Bárbara Magalhães,MG,F,52,Bárbara Magalhães,veiculo novo,5,5965,>=7,2.0,feminino div/dep/cas,sim,3,2.0,30,alugada,1.0,desempregado,1,1,1,leal
Bartolomeu Vila-Chã,TO,M,53,Bartolomeu Vila-Chã,moveis,1,1262,>=7,3.0,masculino cas/viu,sim,3,2.0,25,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Basilio Soares,AC,M,54,Basilio Soares,moveis,5,3378,<1,3.0,maculino div/dep,sim,3,1.0,31,alugada,1.0,altamente qualificado/empresario,4,1,1,leal
Belmira Colaço,RJ,F,55,Belmira Colaço,veiculo novo,4,2225,>=7,2.0,masculino solteiro,sim,3,4.0,57,propria,2.0,desempregado,4,1,1,leal
Belmiro Marroquim,SC,M,57,Belmiro Marroquim,moveis,1,6468,<1,5.0,maculino div/dep,sim,3,1.0,52,alugada,1.0,altamente qualificado/empresario,1,1,1,leal
Bento Quintão,SP,M,58,Bento Quintão,educacao,1,9566,>=7,3.0,maculino div/dep,co aplicante,3,2.0,31,de graca,1.0,desempregado,4,1,0,leal
Berengária Iglesias,BA,F,59,Berengária Iglesias,moveis,4,1961,>=7,2.0,masculino cas/viu,co aplicante,3,2.0,23,alugada,1.0,altamente qualificado/empresario,1,1,0,leal
Bernardete Águeda,TO,F,60,Bernardete Águeda,educacao,3,6229,>=7,1.0,masculino solteiro,co aplicante,2,4.0,23,alugada,3.0,desempregado,3,1,1,leal
Bernardete Querino,PI,F,61,Bernardete Querino,moveis,6,1391,>=7,3.0,maculino div/dep,nao,3,1.0,27,propria,1.0,altamente qualificado/empresario,4,1,1,leal
Bernardete Tavera,ES,F,62,Bernardete Tavera,educacao,1,1537,<1,2.0,masculino solteiro,sim,4,4.0,50,alugada,1.0,desempregado,4,1,1,leal
Bráulio Junquera,PB,M,63,Bráulio Junquera,veiculo usado,6,1953,>=7,2.0,masculino solteiro,sim,3,4.0,61,alugada,2.0,altamente qualificado/empresario,1,1,1,leal
Brenda Serralheiro,PA,F,64,Brenda Serralheiro,veiculo usado,6,14421,>=7,3.0,maculino div/dep,sim,3,2.0,25,alugada,1.0,altamente qualificado/empresario,4,1,1,leal
Brígida Gusmão,DF,F,65,Brígida Gusmão,moveis,1,3181,>=7,1.0,masculino solteiro,co aplicante,3,4.0,26,alugada,1.0,altamente qualificado/empresario,4,1,1,leal
Brites Morales,SC,F,66,Brites Morales,moveis,8,5190,<1,2.0,masculino solteiro,sim,3,4.0,48,alugada,1.0,qualificado,4,2,1,leal
Bruno Perdigão,MS,M,67,Bruno Perdigão,moveis,1,2171,>=7,1.0,maculino div/dep,co aplicante,3,2.0,29,propria,1.0,altamente qualificado/empresario,4,1,0,leal
Bukake Núñez,SC,F,68,Bukake Núñez,moveis,4,1007,4<=X<7,3.0,masculino solteiro,nao,3,1.0,22,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Caím Queiroga,PA,M,70,Caím Queiroga,moveis,1,2394,<1,3.0,masculino solteiro,co aplicante,3,4.0,25,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Calisto Britto,RN,M,35,Calisto Britto,moveis,3,1474,>=7,1.0,masculino solteiro,co aplicante,3,2.0,33,propria,1.0,altamente qualificado/empresario,1,1,1,leal
Cândida Silvestre,MG,F,8,Cândida Silvestre,moveis,5,6948,>=7,3.0,maculino div/dep,sim,3,2.0,35,alugada,1.0,altamente qualificado/empresario,1,1,1,leal
Cândido Sousa do Prado,PR,M,12,Cândido Sousa do Prado,moveis,6,4308,>=7,1.0,masculino cas/viu,co aplicante,3,4.0,24,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Capitolina Ruela,PI,F,1,Capitolina Ruela,reforma,1,1169,<1,3.0,masculino solteiro,sim,3,4.0,67,alugada,1.0,desempregado,4,1,1,leal
Capitolina Valadares,GO,F,69,Capitolina Valadares,moveis,2,1819,>=7,3.0,masculino solteiro,sim,3,4.0,37,de graca,2.0,altamente qualificado/empresario,999,1,1,leal
Carla Briones,AC,F,10,Carla Briones,reforma,4,5234,>=7,5.0,masculino solteiro,nao,3,2.0,28,alugada,1.0,desempregado,1,1,0,leal
Carlos Murici,MG,M,71,Carlos Murici,moveis,5,8133,>=7,3.0,feminino div/dep/cas,co aplicante,3,2.0,30,propria,1.0,altamente qualificado/empresario,4,1,0,leal
Carmem Reino,CE,F,72,Carmem Reino,educacao,1,730,<1,2.0,masculino solteiro,sim,3,2.0,46,alugada,3.0,desempregado,3,1,1,leal
Carminda Alcaide,RO,F,73,Carminda Alcaide,educacao,9,1164,>=7,2.0,masculino cas/viu,sim,3,4.0,51,propria,2.0,desempregado,1,2,1,leal
Carminda Dias,AM,F,74,Carminda Dias,educacao,6,5954,>=7,4.0,maculino div/dep,co aplicante,3,1.0,41,propria,1.0,desempregado,3,1,0,leal
Cássia Guerra,MG,F,76,Cássia Guerra,educacao,5,1526,>=7,2.0,masculino solteiro,sim,3,4.0,66,alugada,2.0,desempregado,1,1,0,leal
Cássia Queiroz,AM,F,77,Cássia Queiroz,moveis,1,3965,>=7,1.0,masculino solteiro,sim,3,3.0,34,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Cássio Bettencourt,BA,M,79,Cássio Bettencourt,veiculo usado,5,9436,<1,3.0,maculino div/dep,sim,3,2.0,39,alugada,1.0,altamente qualificado/empresario,3,2,0,leal
Catarina Bairros,PA,F,80,Catarina Bairros,moveis,3,3832,>=7,1.0,maculino div/dep,nao,3,1.0,22,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Catarina Montero,PI,F,81,Catarina Montero,moveis,1,5943,<1,1.0,feminino div/dep/cas,co aplicante,3,1.0,44,alugada,1.0,desempregado,4,1,1,leal
Cauê Cotrim,PE,M,82,Cauê Cotrim,moveis,1,1213,1<=X<4,2.0,masculino solteiro,sim,3,3.0,47,de graca,1.0,altamente qualificado/empresario,4,1,1,leal
Cauê Parahyba,PA,M,83,Cauê Parahyba,moveis,6,1568,Desempregado,3.0,masculino cas/viu,co aplicante,3,4.0,24,alugada,3.0,altamente qualificado/empresario,3,1,0,leal
Cecília Carlos,AP,F,84,Cecília Carlos,moveis,9,1755,>=7,2.0,masculino solteiro,co aplicante,4,4.0,58,alugada,1.0,altamente qualificado/empresario,3,1,1,leal
Celestino Pereira,RS,M,85,Celestino Pereira,moveis,1,2315,>=7,2.0,masculino cas/viu,sim,3,4.0,52,alugada,1.0,altamente qualificado/empresario,3,1,0,leal
Célia Meireles,CE,F,86,Célia Meireles,educacao,6,1412,>=7,3.0,masculino solteiro,co aplicante,4,2.0,29,alugada,1.0,desempregado,1,1,1,leal
Celina Vale,AL,F,87,Celina Vale,educacao,3,1295,>=7,1.0,masculino solteiro,co aplicante,3,1.0,27,alugada,1.0,desempregado,4,1,0,leal
Cesário Raminhos,RR,M,88,Cesário Raminhos,moveis,2,12612,Desempregado,3.0,feminino div/dep/cas,sim,3,4.0,47,alugada,2.0,altamente qualificado/empresario,4,2,1,leal
Cid Pardo,AL,M,89,Cid Pardo,moveis,4,2249,Desempregado,4.0,masculino solteiro,sim,3,3.0,30,alugada,1.0,altamente qualificado/empresario,1,2,1,leal
Cidália Miera,SE,F,90,Cidália Miera,veiculo usado,8,1108,>=7,4.0,masculino solteiro,sim,3,3.0,28,alugada,1.0,desempregado,4,1,0,leal
Cidália Ornelas,RS,F,91,Cidália Ornelas,educacao,1,618,>=7,2.0,masculino solteiro,sim,3,4.0,56,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Cláudio Cotegipe,MT,M,92,Cláudio Cotegipe,educacao,5,1409,>=7,2.0,masculino solteiro,sim,3,3.0,54,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Cláudio Jorge,TO,M,93,Cláudio Jorge,educacao,1,797,<1,2.0,masculino solteiro,co aplicante,3,3.0,33,propria,1.0,altamente qualificado/empresario,3,2,0,leal
Cláudio Lopes,BA,M,94,Cláudio Lopes,educacao,3,3617,<1,2.0,masculino solteiro,sim,2,4.0,20,alugada,3.0,desempregado,4,1,0,leal
Clotilde Carvalhoso,BA,F,96,Clotilde Carvalhoso,veiculo usado,6,15945,>=7,1.0,masculino cas/viu,sim,3,4.0,58,alugada,3.0,altamente qualificado/empresario,4,1,1,leal
Clóvis Pamplona,PB,M,97,Clóvis Pamplona,educacao,2,2012,<1,4.0,masculino solteiro,co aplicante,3,2.0,61,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Constança Alcaide,GO,M,98,Constança Alcaide,moveis,6,2622,Desempregado,3.0,masculino solteiro,sim,3,4.0,34,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Constantino Pedroso,AC,M,99,Constantino Pedroso,educacao,1,2337,>=7,2.0,masculino solteiro,sim,3,4.0,36,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Corina Dâmaso,CE,F,100,Corina Dâmaso,veiculo novo,5,7057,<1,4.0,masculino cas/viu,sim,3,4.0,36,propria,3.0,desempregado,1,2,1,leal
Cosme Ipanema,PI,M,101,Cosme Ipanema,moveis,4,1469,Desempregado,2.0,masculino solteiro,nao,3,4.0,41,alugada,3.0,altamente qualificado/empresario,3,1,0,leal
Cosme Lira,PR,M,102,Cosme Lira,moveis,1,2323,>=7,4.0,masculino solteiro,sim,3,4.0,24,alugada,3.0,altamente qualificado/empresario,4,1,0,leal
Cosme Zambujal,BA,M,103,Cosme Zambujal,veiculo novo,1,932,>=7,3.0,masculino cas/viu,co aplicante,3,2.0,24,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Crispim Cordero,SC,M,104,Crispim Cordero,educacao,3,1919,>=7,4.0,masculino solteiro,sim,3,3.0,35,alugada,3.0,altamente qualificado/empresario,4,1,1,leal
Crispim Macena,AP,M,105,Crispim Macena,moveis,5,2445,<1,1.0,maculino div/dep,nao,3,4.0,26,alugada,3.0,altamente qualificado/empresario,4,1,1,leal
Cristiana Campello,RN,F,106,Cristiana Campello,educacao,9,11938,>=7,3.0,maculino div/dep,sim,1,3.0,39,alugada,1.0,desempregado,1,2,1,leal
Custódio Gonçalves,DF,M,107,Custódio Gonçalves,abrir negocio,4,6458,>=7,2.0,maculino div/dep,sim,3,4.0,39,propria,1.0,desempregado,1,2,1,leal
Custódio Rolim,ES,M,108,Custódio Rolim,moveis,4,6078,>=7,4.0,maculino div/dep,sim,3,2.0,32,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
David Brás,RJ,M,109,David Brás,moveis,3,7721,<1,1.0,feminino div/dep/cas,co aplicante,3,2.0,30,alugada,1.0,altamente qualificado/empresario,4,1,1,inadimplente
David Carvalhais,RJ,M,110,David Carvalhais,moveis,6,1410,1<=X<4,2.0,feminino div/dep/cas,nao,3,2.0,35,alugada,1.0,altamente qualificado/empresario,4,1,1,leal
Davide Alcántara,MA,M,111,Davide Alcántara,veiculo novo,6,1449,Desempregado,2.0,feminino div/dep/cas,co requerente,3,2.0,31,propria,1.0,desempregado,4,2,0,leal
Davide Fraga,SC,M,112,Davide Fraga,moveis,2,392,>=7,1.0,masculino solteiro,co aplicante,3,4.0,23,alugada,3.0,altamente qualificado/empresario,4,1,1,leal
Deise Farias,AM,F,113,Deise Farias,moveis,4,6260,>=7,4.0,masculino cas/viu,sim,3,3.0,28,alugada,3.0,altamente qualificado/empresario,3,1,0,leal
Deise Laureano,PI,F,114,Deise Laureano,educacao,4,7855,>=7,3.0,masculino solteiro,co aplicante,3,2.0,25,de graca,1.0,desempregado,4,1,1,leal
Deise Meneses,DF,F,115,Deise Meneses,moveis,1,1680,1<=X<4,2.0,masculino cas/viu,nao,3,1.0,35,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Délia Chousa,PB,F,116,Délia Chousa,educacao,1,3578,<1,2.0,masculino solteiro,sim,3,1.0,47,alugada,1.0,altamente qualificado/empresario,4,1,1,leal
Délio Paranhos,BA,M,117,Délio Paranhos,moveis,1,7174,<1,4.0,masculino solteiro,co aplicante,3,3.0,30,alugada,1.0,altamente qualificado/empresario,1,1,1,leal
Deolinda Castelbranco,RO,F,118,Deolinda Castelbranco,educacao,3,2132,<1,1.0,maculino div/dep,co aplicante,2,3.0,27,alugada,3.0,desempregado,4,1,0,inadimplente
Deolinda Castella,RJ,F,119,Deolinda Castella,educacao,3,4281,1<=X<4,3.0,feminino div/dep/cas,co aplicante,3,4.0,23,alugada,1.0,desempregado,4,1,0,leal
Derli Lozada,RJ,F,120,Derli Lozada,educacao,4,2366,1<=X<4,4.0,masculino cas/viu,co requerente,3,3.0,36,alugada,1.0,altamente qualificado/empresario,1,1,1,leal
Diana Baptista,AM,F,121,Diana Baptista,moveis,1,1835,>=7,3.0,masculino cas/viu,co aplicante,3,2.0,25,alugada,1.0,desempregado,4,1,1,leal
Dinarte Mangueira,DF,F,122,Dinarte Mangueira,educacao,5,3868,>=7,2.0,masculino solteiro,co aplicante,3,2.0,41,alugada,3.0,desempregado,1,1,1,leal
Dinarte Marino,MS,F,123,Dinarte Marino,moveis,3,1768,>=7,3.0,masculino cas/viu,sim,3,2.0,24,alugada,3.0,altamente qualificado/empresario,3,1,0,leal
Dinarte Tabalipa,RS,F,124,Dinarte Tabalipa,educacao,4,781,>=7,2.0,masculino solteiro,sim,3,4.0,63,alugada,2.0,desempregado,4,1,1,leal
Dinarte Tabares,RR,F,125,Dinarte Tabares,moveis,3,1924,<1,1.0,masculino solteiro,co aplicante,3,3.0,27,alugada,3.0,altamente qualificado/empresario,4,1,0,leal
Diodete Carijó,PB,F,126,Diodete Carijó,educacao,4,2121,>=7,3.0,masculino solteiro,sim,3,2.0,30,alugada,1.0,desempregado,4,1,0,leal
Diodete Queiroga,GO,F,127,Diodete Queiroga,moveis,1,701,>=7,3.0,masculino solteiro,nao,3,2.0,40,alugada,1.0,altamente qualificado/empresario,3,1,0,leal
Diogo Simón,BA,M,128,Diogo Simón,moveis,8,639,>=7,3.0,masculino solteiro,sim,3,2.0,30,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Dionísio Saltão,PR,M,129,Dionísio Saltão,educacao,5,1860,>=7,5.0,masculino solteiro,sim,3,2.0,34,alugada,1.0,desempregado,1,1,1,leal
Dora Galvão,MT,F,130,Dora Galvão,educacao,4,3499,>=7,3.0,masculino cas/viu,co aplicante,2,2.0,29,alugada,1.0,desempregado,4,1,0,leal
Dora Rocha,DF,F,131,Dora Rocha,moveis,4,8487,<1,4.0,feminino div/dep/cas,co aplicante,3,2.0,24,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Doroteia Quintanilla,RR,F,132,Doroteia Quintanilla,veiculo novo,2,6887,>=7,3.0,masculino solteiro,sim,3,3.0,29,de graca,1.0,altamente qualificado/empresario,4,1,1,leal
Duarte Sampaio,RJ,M,133,Duarte Sampaio,moveis,3,2708,>=7,1.0,maculino div/dep,sim,3,3.0,27,propria,1.0,desempregado,3,1,0,leal
Dulce Prado,AC,F,134,Dulce Prado,moveis,3,1984,>=7,3.0,masculino solteiro,sim,3,4.0,47,propria,2.0,desempregado,4,1,0,leal
Dulce Tomé,CE,F,135,Dulce Tomé,moveis,1,10144,Desempregado,4.0,maculino div/dep,co aplicante,3,4.0,21,alugada,1.0,altamente qualificado/empresario,4,1,1,leal
Eduarda Borba,MA,F,136,Eduarda Borba,educacao,1,1240,<1,2.0,masculino solteiro,co aplicante,3,2.0,38,alugada,1.0,desempregado,4,1,1,leal
Eduarda Madureira,DF,F,137,Eduarda Madureira,veiculo novo,5,8613,4<=X<7,3.0,maculino div/dep,sim,3,2.0,27,alugada,1.0,desempregado,4,1,0,leal
Eládio Froes,AM,M,138,Eládio Froes,moveis,1,766,1<=X<4,3.0,masculino solteiro,sim,3,3.0,66,alugada,1.0,altamente qualificado/empresario,3,1,0,leal
Eloi Meneses,CE,M,139,Eloi Meneses,educacao,1,2728,<1,4.0,masculino solteiro,sim,4,2.0,35,propria,1.0,nao qualificado,4,1,1,leal
Eloi Pereira,PA,M,140,Eloi Pereira,moveis,1,1881,>=7,3.0,maculino div/dep,co aplicante,3,2.0,44,alugada,3.0,altamente qualificado/empresario,3,1,1,leal
Eloi Vasques,RN,M,78,Eloi Vasques,veiculo novo,1,4771,>=7,3.0,maculino div/dep,sim,3,4.0,51,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Elsa Alencar,RJ,F,141,Elsa Alencar,moveis,4,709,4<=X<7,1.0,maculino div/dep,nao,3,2.0,27,alugada,1.0,altamente qualificado/empresario,2,1,0,inadimplente
Elsa Barreto,MA,F,142,Elsa Barreto,moveis,1,4795,>=7,1.0,masculino solteiro,co aplicante,3,1.0,30,alugada,1.0,altamente qualificado/empresario,1,1,1,leal
Elvira Açores,SC,F,143,Elvira Açores,moveis,1,3416,>=7,3.0,masculino cas/viu,sim,3,2.0,27,alugada,1.0,altamente qualificado/empresario,1,1,0,leal
Ema Nieves,GO,F,144,Ema Nieves,moveis,3,2462,>=7,3.0,maculino div/dep,sim,3,2.0,22,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Emiliana Villalobos,RO,F,146,Emiliana Villalobos,abrir negocio,6,3566,Desempregado,4.0,masculino solteiro,sim,3,2.0,30,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Epaminondas Sousa de Arronches,MS,M,147,Epaminondas Sousa de Arronches,educacao,4,860,>=7,2.0,feminino div/dep/cas,co aplicante,3,4.0,39,alugada,1.0,desempregado,4,1,1,leal
Ermelinda Casquero,AM,F,148,Ermelinda Casquero,educacao,4,682,Desempregado,4.0,masculino solteiro,co aplicante,3,3.0,51,alugada,1.0,desempregado,4,1,1,leal
Estefânia Cyrne,RO,F,149,Estefânia Cyrne,educacao,3,5371,>=7,3.0,masculino cas/viu,sim,4,2.0,28,alugada,1.0,desempregado,4,1,0,leal
Estela Mattos,PI,F,150,Estela Mattos,educacao,1,1582,4<=X<7,2.0,masculino solteiro,sim,3,4.0,46,alugada,1.0,desempregado,4,1,0,leal
Ester Castanho,AC,F,151,Ester Castanho,moveis,1,1346,Desempregado,2.0,maculino div/dep,sim,3,4.0,42,propria,2.0,altamente qualificado/empresario,4,2,1,leal
Ester Dantas,SP,F,152,Ester Dantas,moveis,1,1924,>=7,3.0,feminino div/dep/cas,sim,3,4.0,38,alugada,1.0,altamente qualificado/empresario,4,1,1,inadimplente
Estêvão Simão,DF,M,153,Estêvão Simão,moveis,1,5848,>=7,3.0,masculino solteiro,sim,3,1.0,24,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Eusébio Bairros,SP,M,154,Eusébio Bairros,educacao,5,7758,4<=X<7,2.0,maculino div/dep,co aplicante,3,4.0,29,alugada,3.0,altamente qualificado/empresario,4,1,0,leal
Eusébio Mata,PI,M,155,Eusébio Mata,veiculo novo,6,6967,Desempregado,4.0,masculino solteiro,sim,3,4.0,36,alugada,3.0,altamente qualificado/empresario,1,1,1,leal
Eusébio Pacheco,TO,M,156,Eusébio Pacheco,moveis,3,1282,>=7,3.0,maculino div/dep,co aplicante,3,4.0,20,alugada,3.0,altamente qualificado/empresario,4,1,0,leal
Eusébio Salomão,AC,M,157,Eusébio Salomão,educacao,8,1288,Desempregado,2.0,masculino cas/viu,sim,4,4.0,48,alugada,1.0,desempregado,4,2,0,inadimplente
